Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,3,Anthony Sherman,RB,3,KC,LAC,0,0,0,0,1,1,11,0,0,0,2.10
2017,REG,4,Akeem Hunt,RB,3,KC,LAC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Melvin Gordon,RB,3,LAC,KC,17,79,5,1,2,0,0,0,0,0,13.90
2017,REG,2,Branden Oliver,RB,3,LAC,KC,8,16,2,0,6,4,18,0,0,0,7.40
2017,REG,3,Austin Ekeler,RB,3,LAC,KC,0,0,0,0,1,1,6,0,0,0,1.60
2017,REG,4,Derek Watt,RB,3,LAC,KC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Todd Gurley,RB,3,LAR,SF,28,113,4,2,7,5,36,1,1,0,40.90
2017,REG,2,Justin Davis,RB,3,LAR,SF,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jay Ajayi,RB,3,MIA,NYJ,11,16,2,0,3,2,9,0,0,0,4.50
2017,REG,2,Damien Williams,RB,3,MIA,NYJ,2,5,3,0,1,1,6,0,0,0,2.10
2017,REG,3,Kenyan Drake,RB,3,MIA,NYJ,1,0,0,0,2,1,2,0,0,0,1.20
2017,REG,4,Senorise Perry,RB,3,MIA,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Dalvin Cook,RB,3,MIN,TB,27,97,4,1,5,5,72,0,0,0,27.90
2017,REG,2,Jerick McKinnon,RB,3,MIN,TB,2,5,3,0,2,2,-1,0,0,0,2.40
2017,REG,3,CJ Ham,RB,3,MIN,TB,0,0,0,0,1,1,12,0,0,0,2.20
2017,REG,4,Latavius Murray,RB,3,MIN,TB,2,5,3,0,0,0,0,0,0,0,0.50
2017,REG,1,Dion Lewis,RB,3,NE,HOU,2,5,3,0,3,3,12,0,0,0,4.70
2017,REG,2,James White,RB,3,NE,HOU,5,17,3,0,1,1,11,0,0,0,3.80
2017,REG,3,Mike Gillislee,RB,3,NE,HOU,12,31,3,0,0,0,0,0,0,0,3.10
2017,REG,4,Brandon Bolden,RB,3,NE,HOU,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,James Develin,RB,3,NE,HOU,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Alvin Kamara,RB,3,NO,CAR,2,37,19,1,5,3,5,0,0,0,13.20
2017,REG,2,Mark Ingram,RB,3,NO,CAR,14,56,4,0,4,2,30,0,0,0,10.60
2017,REG,3,Adrian Peterson,RB,3,NO,CAR,9,33,4,0,2,2,4,0,0,0,5.70
2017,REG,1,Paul Perkins,RB,3,NYG,PHI,9,22,2,0,2,2,8,0,0,0,5.00
2017,REG,2,Orleans Darkwa,RB,3,NYG,PHI,7,22,3,0,1,1,11,0,0,0,4.30
2017,REG,3,Shane Vereen,RB,3,NYG,PHI,1,5,5,0,2,2,18,0,0,0,4.30
2017,REG,4,Shane Smith,RB,3,NYG,PHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Bilal Powell,RB,3,NYJ,MIA,15,37,3,1,0,0,0,0,0,0,9.70
2017,REG,2,Matt Forte,RB,3,NYJ,MIA,8,25,3,0,0,0,0,0,0,0,2.50
2017,REG,3,Elijah McGuire,RB,3,NYJ,MIA,7,34,5,0,0,0,0,0,1,1,2.40
2017,REG,1,Deandre Washington,RB,3,OAK,WAS,1,0,0,0,6,5,24,0,0,0,7.40
2017,REG,2,Marshawn Lynch,RB,3,OAK,WAS,6,18,3,0,1,1,8,0,0,0,3.60
2017,REG,3,Jalen Richard,RB,3,OAK,WAS,2,4,2,0,1,1,4,0,0,0,1.80
2017,REG,4,Jamize Olawale,RB,3,OAK,WAS,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,LeGarrette Blount,RB,3,PHI,NYG,12,67,6,1,0,0,0,0,0,0,12.70
2017,REG,2,Wendell Smallwood,RB,3,PHI,NYG,12,71,6,0,2,1,9,0,0,0,9.00
2017,REG,3,Corey Clement,RB,3,PHI,NYG,6,22,4,1,0,0,0,0,0,0,8.20
2017,REG,4,Darren Sproles,RB,3,PHI,NYG,3,11,4,0,0,0,0,0,0,0,1.10
2017,REG,1,Le'Veon Bell,RB,3,PIT,CHI,15,61,4,1,7,6,37,0,0,0,21.80
2017,REG,2,Terrell Watson,RB,3,PIT,CHI,1,3,3,0,0,0,0,0,0,0,0.30
