Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,4,Charles Clay,TE,1,BUF,BAL,3,2,67,40,0,33,13,20,0,0,0,0,0,5.00
2016,REG,5,Nick O'Leary,TE,3,BUF,ARI,1,1,100,28,0,28,28,28,0,0,0,0,0,3.30
2016,REG,6,Nick O'Leary,TE,4,BUF,NE,2,2,100,20,0,17,10,10,0,0,0,0,0,3.00
2016,REG,7,Jim Dray,TE,1,BUF,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,8,Nick O'Leary,TE,1,BUF,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Jim Dray,TE,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Nick O'Leary,TE,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Jim Dray,TE,3,BUF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Charles Clay,TE,3,BUF,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Jim Dray,TE,4,BUF,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Nick O'Leary,TE,5,BUF,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Gerald Christian,TE,5,BUF,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Greg Olsen,TE,5,CAR,TB,13,9,69,181,0,34,14,20,0,0,0,0,0,22.60
2016,REG,2,Greg Olsen,TE,2,CAR,SF,8,5,63,122,1,78,15,24,0,0,0,0,0,20.70
2016,REG,3,Greg Olsen,TE,4,CAR,ATL,13,6,46,76,1,24,6,13,0,0,0,0,0,18.60
2016,REG,4,Greg Olsen,TE,1,CAR,DEN,9,7,78,73,0,18,8,10,0,0,0,0,0,10.80
2016,REG,5,Greg Olsen,TE,3,CAR,MIN,10,6,60,64,0,18,6,11,0,0,0,0,0,9.40
2016,REG,6,Ed Dickson,TE,3,CAR,MIN,1,1,100,23,0,23,23,23,0,0,0,0,0,2.80
