Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,YdsPerAtt,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2016,REG,10,Jerome Felton,RB,4,BUF,NE,1,2,2,0,1,1,5,0,0,0,1.20
2016,REG,11,Jerome Felton,RB,5,BUF,LAR,1,6,6,0,0,0,0,0,0,0,0.60
2016,REG,12,Reggie Bush,RB,5,BUF,LAR,1,3,3,0,0,0,0,0,0,0,0.30
2016,REG,13,Jonathan Williams,RB,3,BUF,ARI,3,2,1,0,0,0,0,0,0,0,0.20
2016,REG,14,Mike Gillislee,RB,1,BUF,BAL,0,0,0,0,1,1,-4,0,0,0,0.10
2016,REG,15,Glenn Gronkowski,RB,1,BUF,BAL,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Jerome Felton,RB,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,Reggie Bush,RB,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Jerome Felton,RB,3,BUF,ARI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Jonathan Williams,RB,4,BUF,NE,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Reggie Bush,RB,1,BUF,BAL,3,-4,-1,0,1,0,0,0,0,0,-0.40
2016,REG,1,Cameron Artis-Payne,RB,5,CAR,TB,18,85,5,2,0,0,0,0,0,0,20.50
2016,REG,2,Fozzy Whittaker,RB,4,CAR,ATL,3,6,2,0,9,9,86,0,0,0,13.70
2016,REG,3,Fozzy Whittaker,RB,2,CAR,SF,16,100,6,0,4,3,31,0,1,1,12.60
2016,REG,4,Fozzy Whittaker,RB,3,CAR,MIN,5,22,4,0,6,5,34,0,0,0,8.10
2016,REG,5,Jonathan Stewart,RB,1,CAR,DEN,15,64,4,0,1,0,0,0,0,0,6.40
2016,REG,6,Cameron Artis-Payne,RB,3,CAR,MIN,12,47,4,0,1,1,11,0,0,0,6.30
2016,REG,7,Fozzy Whittaker,RB,5,CAR,TB,5,45,9,0,1,1,9,0,0,0,5.90
2016,REG,8,Mike Tolbert,RB,3,CAR,MIN,2,5,3,0,3,2,14,0,0,0,2.90
2016,REG,9,Jonathan Stewart,RB,2,CAR,SF,5,9,2,0,2,2,7,0,0,0,2.60
2016,REG,10,Mike Tolbert,RB,2,CAR,SF,9,25,3,0,1,0,0,0,0,0,2.50
2016,REG,11,Fozzy Whittaker,RB,1,CAR,DEN,3,13,4,0,1,1,4,0,0,0,2.20
2016,REG,12,Cameron Artis-Payne,RB,4,CAR,ATL,6,12,2,0,0,0,0,0,0,0,1.20
2016,REG,13,Mike Tolbert,RB,1,CAR,DEN,2,6,3,0,1,1,1,0,0,0,1.20
2016,REG,14,Mike Tolbert,RB,4,CAR,ATL,1,1,1,0,1,1,-2,0,0,0,0.40
2016,REG,15,Mike Tolbert,RB,5,CAR,TB,1,2,2,0,0,0,0,0,0,0,0.20
2016,REG,1,Jordan Howard,RB,5,CHI,IND,16,118,7,0,3,3,45,1,0,0,23.80
2016,REG,2,Jordan Howard,RB,4,CHI,DET,23,111,5,0,4,3,21,0,0,0,14.70
2016,REG,3,Jeremy Langford,RB,1,CHI,HOU,17,57,3,1,4,2,6,0,0,0,13.30
2016,REG,4,Jordan Howard,RB,3,CHI,DAL,9,45,5,0,6,4,47,0,1,0,11.20
2016,REG,5,Jeremy Langford,RB,2,CHI,PHI,11,28,3,1,2,1,6,0,1,1,7.90
2016,REG,6,Jeremy Langford,RB,3,CHI,DAL,3,31,10,0,3,2,15,0,0,0,5.60
2016,REG,7,Jordan Howard,RB,2,CHI,PHI,3,22,7,0,2,2,9,0,0,0,4.10
2016,REG,8,Ka'Deem Carey,RB,5,CHI,IND,1,2,2,0,1,1,15,0,0,0,2.20
2016,REG,9,Ka'Deem Carey,RB,2,CHI,PHI,2,3,2,0,1,1,3,0,0,0,1.10
2016,REG,10,Joique Bell,RB,4,CHI,DET,3,6,2,0,0,0,0,0,0,0,0.60
2016,REG,11,Ka'Deem Carey,RB,1,CHI,HOU,1,4,4,0,0,0,0,0,0,0,0.40
2016,REG,12,Paul Lasike,RB,2,CHI,PHI,1,2,2,0,0,0,0,0,0,0,0.20
2016,REG,13,Paul Lasike,RB,1,CHI,HOU,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Raheem Mostert,RB,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Raheem Mostert,RB,4,CHI,DET,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Joique Bell,RB,5,CHI,IND,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,Paul Lasike,RB,5,CHI,IND,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Jeremy Hill,RB,3,CIN,DEN,17,97,6,2,0,0,0,0,0,0,21.70
2016,REG,2,Giovani Bernard,RB,2,CIN,PIT,5,17,3,0,11,9,100,1,1,1,20.20
2016,REG,3,Giovani Bernard,RB,5,CIN,DAL,9,50,6,0,6,6,46,0,0,0,12.60
2016,REG,4,Jeremy Hill,RB,1,CIN,NYJ,9,31,3,1,0,0,0,0,0,0,9.10
2016,REG,5,Jeremy Hill,RB,2,CIN,PIT,11,22,2,0,5,3,37,0,0,0,7.40
2016,REG,6,Jeremy Hill,RB,4,CIN,MIA,21,71,3,0,1,0,0,0,0,0,7.10
2016,REG,7,Giovani Bernard,RB,3,CIN,DEN,5,8,2,0,5,5,36,0,0,0,6.90
2016,REG,8,Giovani Bernard,RB,4,CIN,MIA,10,18,2,0,4,3,24,0,0,0,5.70
2016,REG,9,Giovani Bernard,RB,1,CIN,NYJ,5,25,5,0,4,2,5,0,0,0,4.00
2016,REG,10,Jeremy Hill,RB,5,CIN,DAL,4,12,3,0,1,0,0,0,0,0,1.20
2016,REG,11,Rex Burkhead,RB,1,CIN,NYJ,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Rex Burkhead,RB,2,CIN,PIT,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Rex Burkhead,RB,3,CIN,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Rex Burkhead,RB,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Rex Burkhead,RB,5,CIN,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Isaiah Crowell,RB,4,CLE,WAS,16,120,8,1,4,3,22,0,0,0,21.70
2016,REG,2,Isaiah Crowell,RB,2,CLE,BAL,18,133,7,1,1,1,15,0,0,0,21.30
2016,REG,3,Isaiah Crowell,RB,1,CLE,PHI,12,62,5,1,2,2,16,0,0,0,14.80
2016,REG,4,Duke Johnson,RB,3,CLE,MIA,10,69,7,0,7,5,12,0,0,0,10.60
2016,REG,5,Duke Johnson,RB,4,CLE,WAS,8,45,6,0,8,6,31,0,1,1,8.60
2016,REG,6,Isaiah Crowell,RB,3,CLE,MIA,15,79,5,0,1,0,0,0,0,0,7.90
2016,REG,7,Duke Johnson,RB,2,CLE,BAL,3,12,4,0,5,4,44,0,0,0,7.60
2016,REG,8,Duke Johnson,RB,1,CLE,PHI,3,22,7,0,5,3,28,0,0,0,6.50
2016,REG,9,Isaiah Crowell,RB,5,CLE,NE,13,22,2,0,3,1,18,0,0,0,4.50
2016,REG,10,Duke Johnson,RB,5,CLE,NE,4,1,0,0,3,2,21,0,0,0,3.20
2016,REG,11,Malcolm Johnson,RB,1,CLE,PHI,0,0,0,0,2,2,9,0,0,0,1.90
2016,REG,12,Malcolm Johnson,RB,3,CLE,MIA,0,0,0,0,1,1,3,0,0,0,0.80
2016,REG,13,George Atkinson,RB,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,George Atkinson,RB,2,CLE,BAL,0,0,0,0,0,0,0,0,1,0,0.00
2016,REG,15,Malcolm Johnson,RB,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,George Atkinson,RB,3,CLE,MIA,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,George Atkinson,RB,4,CLE,WAS,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,George Atkinson,RB,5,CLE,NE,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Malcolm Johnson,RB,5,CLE,NE,0,0,0,0,1,0,0,0,0,0,0.00
2016,REG,20,Malcolm Johnson,RB,4,CLE,WAS,1,2,2,0,1,1,11,0,1,1,-0.20
2016,REG,1,Ezekiel Elliott,RB,5,DAL,CIN,15,134,9,2,4,3,37,0,0,0,30.60
2016,REG,2,Ezekiel Elliott,RB,4,DAL,SF,23,138,6,1,1,1,19,0,0,0,22.20
2016,REG,3,Ezekiel Elliott,RB,3,DAL,CHI,30,140,5,0,2,2,20,0,0,0,17.00
2016,REG,4,Ezekiel Elliott,RB,2,DAL,WAS,21,83,4,1,2,2,4,0,2,1,13.70
2016,REG,5,Ezekiel Elliott,RB,1,DAL,NYG,20,51,3,1,2,1,1,0,0,0,11.70
