Year,Season,Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QBRating,Att,Yds,Yds/Att,TD,FantasyPts
2017,REG,1,Josh McCown,QB,2,NYJ,OAK,16,24,67,166,7,2,0,114,4,31,8,0,16.74
2017,REG,2,Josh McCown,QB,1,NYJ,BUF,26,39,67,187,5,0,2,56,2,0,0,1,11.48
2017,REG,1,Derek Carr,QB,2,OAK,NYJ,23,28,82,230,8,3,0,137,0,0,0,0,21.20
2017,REG,2,Derek Carr,QB,1,OAK,TEN,22,32,69,262,8,2,0,114,2,2,1,0,18.68
2017,REG,1,Carson Wentz,QB,2,PHI,KC,25,46,54,333,7,2,1,83,4,55,14,0,28.82
2017,REG,2,Carson Wentz,QB,1,PHI,WAS,26,39,67,307,8,2,1,97,4,6,2,0,23.88
2017,REG,1,Ben Roethlisberger,QB,2,PIT,MIN,23,35,66,243,7,2,0,105,2,-2,-1,0,17.52
2017,REG,2,Ben Roethlisberger,QB,1,PIT,CLE,24,36,67,263,7,2,1,95,3,-8,-3,0,16.72
2017,REG,1,Russell Wilson,QB,2,SEA,SF,23,39,59,198,5,1,0,81,12,34,3,0,15.32
2017,REG,2,Russell Wilson,QB,1,SEA,GB,14,27,52,158,6,0,0,70,2,40,20,0,9.32
2017,REG,1,Brian Hoyer,QB,1,SF,CAR,24,35,69,193,6,0,1,70,1,-5,-5,0,5.22
2017,REG,2,Brian Hoyer,QB,2,SF,SEA,15,27,56,99,4,0,1,48,0,0,0,0,2.96
2017,REG,1,Jameis Winston,QB,2,TB,CHI,18,30,60,204,7,1,0,92,1,3,3,0,12.46
2017,REG,2,Ryan Fitzpatrick,QB,2,TB,CHI,0,1,0,0,0,0,0,40,2,-2,-1,0,-0.20
2017,REG,1,Marcus Mariota,QB,1,TEN,OAK,25,41,61,256,6,0,0,79,3,26,9,1,18.84
2017,REG,2,Marcus Mariota,QB,2,TEN,JAX,15,27,56,215,8,1,1,78,6,24,4,0,14.00
2017,REG,1,Kirk Cousins,QB,1,WAS,PHI,23,40,58,240,6,1,1,73,4,30,8,0,13.60
2017,REG,2,Kirk Cousins,QB,2,WAS,LAR,18,27,67,179,7,1,0,98,3,7,2,0,11.86
