Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,Ezekiel Elliott,RB,1,DAL,NYG,24,104,4,0,5,5,36,0,0,0,22.00
2017,REG,2,Ezekiel Elliott,RB,2,DAL,DEN,9,8,1,0,5,4,14,0,0,0,6.20
2017,REG,3,Rod Smith,RB,2,DAL,DEN,2,8,4,0,0,0,0,0,0,0,0.80
2017,REG,4,Alfred Morris,RB,1,DAL,NYG,4,1,0,0,0,0,0,0,0,0,0.10
2017,REG,5,Keith Smith,RB,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Rod Smith,RB,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Alfred Morris,RB,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Keith Smith,RB,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,CJ Anderson,RB,2,DEN,DAL,25,118,5,1,3,3,36,1,0,0,33.40
2017,REG,2,CJ Anderson,RB,1,DEN,LAC,20,81,4,0,3,1,7,0,0,0,9.80
2017,REG,3,Jamaal Charles,RB,2,DEN,DAL,9,46,5,0,1,1,6,0,0,0,6.20
2017,REG,4,Jamaal Charles,RB,1,DEN,LAC,10,40,4,0,1,0,0,0,1,1,3.00
2017,REG,5,Andy Janovich,RB,1,DEN,LAC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,De'Angelo Henderson,RB,1,DEN,LAC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Andy Janovich,RB,2,DEN,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,De'Angelo Henderson,RB,2,DEN,DAL,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Theo Riddick,RB,1,DET,ARI,1,-1,-1,0,7,6,27,1,0,0,14.60
2017,REG,2,Ameer Abdullah,RB,2,DET,NYG,17,86,5,0,0,0,0,0,0,0,8.60
2017,REG,3,Ameer Abdullah,RB,1,DET,ARI,15,30,2,0,4,3,11,0,0,0,7.10
2017,REG,4,Theo Riddick,RB,2,DET,NYG,9,20,2,0,3,3,17,0,0,0,6.70
2017,REG,5,Dwayne Washington,RB,1,DET,ARI,6,22,4,0,0,0,0,0,0,0,2.20
2017,REG,6,Dwayne Washington,RB,2,DET,NYG,3,9,3,0,0,0,0,0,0,0,0.90
2017,REG,1,Ty Montgomery,RB,2,GB,ATL,10,35,4,1,7,6,75,1,0,0,29.00
2017,REG,2,Ty Montgomery,RB,1,GB,SEA,19,54,3,1,4,4,39,0,0,0,19.30
2017,REG,3,Jamaal Williams,RB,2,GB,ATL,2,6,3,0,1,1,5,0,0,0,2.10
2017,REG,4,Aaron Ripkowski,RB,2,GB,ATL,0,0,0,0,1,1,2,0,0,0,1.20
2017,REG,5,Jamaal Williams,RB,1,GB,SEA,2,9,5,0,0,0,0,0,0,0,0.90
2017,REG,6,Aaron Ripkowski,RB,1,GB,SEA,0,0,0,0,0,0,0,0,0,0,0.00
