QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Jonathan Stewart (9768279),Jonathan Stewart,9768279,RB,3200,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Brenton Bersin (9768296),Brenton Bersin,9768296,WR,3100,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,DST,Broncos  (9768260),Broncos ,9768260,DST,3000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Matthew Slater (9768272),Matthew Slater,9768272,WR,3000,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,RB,James Develin (9768289),James Develin,9768289,RB,3000,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,RB,Brandon Bolden (9768302),Brandon Bolden,9768302,RB,3000,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,WR,Jordan Taylor (9768324),Jordan Taylor,9768324,WR,3000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Cody Latimer (9768358),Cody Latimer,9768358,WR,3000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,RB,Andy Janovich (9768360),Andy Janovich,9768360,RB,3000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,WR,Isaiah McKenzie (9768382),Isaiah McKenzie,9768382,WR,3000,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,RB,Fozzy Whittaker (9768294),Fozzy Whittaker,9768294,RB,3000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Russell Shepard (9768304),Russell Shepard,9768304,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,RB,Senorise Perry (9768326),Senorise Perry,9768326,RB,3000,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Kaelin Clay (9768330),Kaelin Clay,9768330,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Rashawn Scott (9768342),Rashawn Scott,9768342,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Damiere Byrd (9768348),Damiere Byrd,9768348,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
