QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Le'Veon Bell (9759662),Le'Veon Bell,9759662,RB,9800,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,WR,Antonio Brown (9759516),Antonio Brown,9759516,WR,9500,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Ezekiel Elliott (9759978),Ezekiel Elliott,9759978,RB,8800,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,Todd Gurley II (9759930),Todd Gurley II,9759930,RB,8700,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Leonard Fournette (9760087),Leonard Fournette,9760087,RB,8400,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,RB,LeSean McCoy (9759480),LeSean McCoy,9759480,RB,8300,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Julio Jones (9759529),Julio Jones,9759529,WR,8000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,A.J. Green (9759535),A.J. Green,9759535,WR,7700,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,DeAndre Hopkins (9759738),DeAndre Hopkins,9759738,WR,7500,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,QB,Russell Wilson (9759504),Russell Wilson,9759504,QB,7400,SEA@ARI 11/09/2017 08:25PM ET,SEA,
,,,,,,,,,,RB,Mark Ingram (9759527),Mark Ingram,9759527,RB,7400,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Dak Prescott (9759754),Dak Prescott,9759754,QB,7300,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,Melvin Gordon (9759828),Melvin Gordon,9759828,RB,7200,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Mike Evans (9759774),Mike Evans,9759774,WR,7100,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,WR,Michael Thomas (9759896),Michael Thomas,9759896,WR,7000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,TE,Rob Gronkowski (9760185),Rob Gronkowski,9760185,TE,7000,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,QB,Drew Brees (9759374),Drew Brees,9759374,QB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,RB,Alvin Kamara (9760057),Alvin Kamara,9760057,RB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Dez Bryant (9759477),Dez Bryant,9759477,WR,6900,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,David Johnson (9759680),David Johnson,9759680,RB,6800,SEA@ARI 11/09/2017 08:25PM ET,ARI,
,,,,,,,,,,QB,Matthew Stafford (9759442),Matthew Stafford,9759442,QB,6800,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,WR,Golden Tate (9759497),Golden Tate,9759497,WR,6800,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,RB,Christian McCaffrey (9760225),Christian McCaffrey,9760225,RB,6800,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Adam Thielen (9759993),Adam Thielen,9759993,WR,6700,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,QB,Jared Goff (9759964),Jared Goff,9759964,QB,6700,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,QB,Tom Brady (9760159),Tom Brady,9760159,QB,6700,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,QB,Ben Roethlisberger (9759406),Ben Roethlisberger,9759406,QB,6600,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Jerick McKinnon (9759743),Jerick McKinnon,9759743,RB,6600,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Stefon Diggs (9759925),Stefon Diggs,9759925,WR,6500,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,QB,Matt Ryan (9759389),Matt Ryan,9759389,QB,6500,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,Doug Baldwin (9759489),Doug Baldwin,9759489,WR,6400,SEA@ARI 11/09/2017 08:25PM ET,SEA,
,,,,,,,,,,RB,Aaron Jones (9760010),Aaron Jones,9760010,RB,6400,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,QB,Cam Newton (9760222),Cam Newton,9760222,QB,6400,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,QB,Tyrod Taylor (9759488),Tyrod Taylor,9759488,QB,6300,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,RB,Carlos Hyde (9759666),Carlos Hyde,9759666,RB,6300,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Marvin Jones Jr. (9759551),Marvin Jones Jr.,9759551,WR,6200,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,TE,Evan Engram (9760043),Evan Engram,9760043,TE,6200,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,RB,Jordan Howard (9760055),Jordan Howard,9760055,RB,6100,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,QB,Josh McCown (9759375),Josh McCown,9759375,QB,6100,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Demaryius Thomas (9760138),Demaryius Thomas,9760138,WR,6100,NE@DEN 11/12/2017 08:30PM ET,DEN,
