"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21736-54879","QB","Deshaun","Deshaun Watson","Watson","25.265714372907365","7","9600","IND@HOU","HOU","IND","O","Knee","",""
"21736-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","17.87142835344587","7","9100","IND@HOU","HOU","IND","","","",""
"21736-30447","RB","Todd","Todd Gurley II","Gurley II","21.357142857142858","7","9100","LAR@NYG","LAR","NYG","","","",""
"21736-45229","RB","Kareem","Kareem Hunt","Hunt","19.375","8","9000","KC@DAL","KC","DAL","","","",""
"21736-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","20.785714285714285","7","8900","KC@DAL","DAL","KC","O","Suspension","",""
"21736-52922","RB","Leonard","Leonard Fournette","Fournette","20.4499994913737","6","8600","CIN@JAC","JAC","CIN","","","",""
"21736-22015","QB","Russell","Russell Wilson","Wilson","23.102857317243302","7","8500","WAS@SEA","SEA","WAS","","","",""
"21736-32384","WR","Mike","Mike Evans","Evans","13.62857164655413","7","8500","TB@NO","TB","NO","","","",""
"21736-6504","QB","Drew","Drew Brees","Brees","17.734285627092635","7","8300","TB@NO","NO","TB","","","",""
"21736-14187","WR","A.J.","A.J. Green","Green","14.028570992606026","7","8200","CIN@JAC","CIN","JAC","","","",""
"21736-31716","QB","Dak","Dak Prescott","Prescott","21.365713936941965","7","8200","KC@DAL","DAL","KC","","","",""
"21736-70324","QB","Carson","Carson Wentz","Wentz","21.727500915527344","8","8000","DEN@PHI","PHI","DEN","","","",""
"21736-14626","WR","Doug","Doug Baldwin","Baldwin","11.099999564034599","7","7900","WAS@SEA","SEA","WAS","","","",""
"21736-8005","QB","Alex","Alex Smith","Smith","21.329999923706055","8","7900","KC@DAL","KC","DAL","","","",""
"21736-14190","WR","Julio","Julio Jones","Jones","11.214285714285714","7","7900","ATL@CAR","ATL","CAR","","","",""
"21736-14211","RB","Mark","Mark Ingram","Ingram","14.057143075125557","7","7900","TB@NO","NO","TB","","","",""
"21736-42028","WR","Will","Will Fuller V","Fuller V","19.325000762939453","4","7800","IND@HOU","HOU","IND","","","",""
"21736-29358","QB","Marcus","Marcus Mariota","Mariota","15.740000406901041","6","7800","BAL@TEN","TEN","BAL","","","",""
"21736-45859","QB","Derek","Derek Carr","Carr","15.765714372907366","7","7800","OAK@MIA","OAK","MIA","","","",""
"21736-11435","WR","Dez","Dez Bryant","Bryant","10.942856924874443","7","7700","KC@DAL","DAL","KC","","","",""
"21736-24849","QB","Jameis","Jameis Winston","Winston","15.488571166992188","7","7700","TB@NO","TB","NO","Q","Shoulder - ac joint","",""
"21736-53681","WR","Tyreek","Tyreek Hill","Hill","12.4375","8","7700","KC@DAL","KC","DAL","","","",""
