Id,Position,Firstname,Nickname,Lastname,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21734-55633,WR,,Travis Rudolph,,2.349999905,2,4600,LAR@NYG,NYG,LAR,,
21734-22958,RB,,Bobby Rainey,,3.299999873,3,4600,BAL@TEN,BAL,TEN,,
21734-34295,WR,,Breshad Perriman,,0.657142844,7,4600,BAL@TEN,BAL,TEN,,
21734-33703,WR,,Ryan Grant,,6.285714286,7,4600,WAS@SEA,WAS,SEA,,
21734-14319,RB,,Taiwan Jones,,0.800000012,2,4600,BUF@NYJ,BUF,NYJ,,
21734-14348,TE,,Lee Smith,,2.166666667,3,4500,OAK@MIA,OAK,MIA,,
21734-23569,TE,,Rico Gathers,,0,0,4500,KC@DAL,DAL,KC,IR,Concussion
21734-40977,TE,,Ricky Seals-Jones,,0,1,4500,ARI@SF,ARI,SF,,
21734-53266,WR,,BJ Johnson III,,0,0,4500,ARI@SF,SF,ARI,,
21734-14355,TE,,Niles Paul,,0.949999988,4,4500,WAS@SEA,WAS,SEA,Q,Concussion
21734-14358,WR,,Dwayne Harris,,0,4,4500,LAR@NYG,NYG,LAR,IR,Foot
21734-27672,TE,,Matt LaCosse,,0,1,4500,LAR@NYG,NYG,LAR,,
21734-29725,TE,,Levine Toilolo,,2.199999968,3,4500,ATL@CAR,ATL,CAR,,
21734-14369,RB,,Jordan Todman,,0,1,4500,IND@HOU,HOU,IND,,
21734-56356,WR,,Isaiah Ford,,0,0,4500,OAK@MIA,MIA,OAK,IR,Knee - meniscus
21734-27692,RB,,Josh Ferguson,,0.5,1,4500,IND@HOU,IND,HOU,,
21734-62508,TE,,James O'Shaughnessy,,1.016666651,6,4500,CIN@JAC,JAC,CIN,,
21734-24621,WR,,Charone Peake,,0.800000012,1,4500,BUF@NYJ,NYJ,BUF,IR,Ankle
21734-62515,TE,,Neal Sterling,,0.649999976,2,4500,BUF@NYJ,NYJ,BUF,,
21734-25654,RB,,Tommy Bohanon,,2.033333302,6,4500,CIN@JAC,JAC,CIN,,
21734-28744,RB,,Raheem Mostert,,0.25,4,4500,ARI@SF,SF,ARI,,
21734-7244,RB,,John Kuhn,,0.200000003,1,4500,TB@NO,NO,TB,IR,Biceps
21734-30807,TE,,Mychal Rivera,,3.420000076,10,4500,CIN@JAC,JAC,CIN,IR,Wrist
21734-79972,WR,,Chad Williams,,1.649999976,2,4500,ARI@SF,ARI,SF,,
21734-29805,TE,,Ryan Hewitt,,2.099999905,1,4500,CIN@JAC,CIN,JAC,Q,Knee
21734-79980,TE,,Eric Saubert,,0,0,4500,ATL@CAR,ATL,CAR,,
21734-79983,RB,,De'Angelo Henderson,,0.100000001,1,4500,DEN@PHI,DEN,PHI,,
21734-42095,WR,,ArDarius Stewart,,1.233333349,6,4500,BUF@NYJ,NYJ,BUF,,
21734-79982,RB,,Alex Armah,,0,0,4500,ATL@CAR,CAR,ATL,Q,Hamstring
21734-27771,WR,,Cody Latimer,,1.424999952,4,4500,DEN@PHI,DEN,PHI,,
21734-79998,WR,,Keelan Cole,,2.157142912,7,4500,CIN@JAC,JAC,CIN,,
21734-80011,TE,,Antony Auclair,,0,0,4500,TB@NO,TB,NO,,
21734-24718,WR,,Max McCaffrey,,0.449999988,2,4500,DET@GB,GB,DET,,
21734-28815,RB,,Akeem Hunt,,0.128571425,7,4500,KC@DAL,KC,DAL,,
21734-62617,TE,,Khari Lee,,0,1,4500,BUF@NYJ,BUF,NYJ,,
21734-11419,RB,,C.J. Spiller,,0,1,4500,KC@DAL,KC,DAL,,
21734-46244,RB,,Donnel Pumphrey,,0,0,4500,DEN@PHI,PHI,DEN,IR,Hamstring
21734-25775,TE,,Clive Walford,,0.533333341,3,4500,OAK@MIA,OAK,MIA,,
21734-25783,RB,,Mike James,,2.033333302,3,4500,DET@GB,DET,GB,IR,Concussion
21734-25789,WR,,Rashawn Scott,,0,0,4500,OAK@MIA,MIA,OAK,Q,Foot
21734-32957,TE,,Eric Tomlinson,,3.166666667,6,4500,BUF@NYJ,NYJ,BUF,,
21734-9409,TE,,Clark Harris,,0,0,4500,CIN@JAC,CIN,JAC,,
21734-11457,WR,,Arrelious Benn,,0.850000024,2,4500,CIN@JAC,JAC,CIN,,
21734-41163,WR,,Keeon Johnson,,0,0,4500,LAR@NYG,NYG,LAR,IR,Foot
21734-45278,WR,,Bernard Reedy,,0.399999993,7,4500,TB@NO,TB,NO,,
21734-40164,WR,,Shelton Gibson,,0,0,4500,DEN@PHI,PHI,DEN,,
21734-11504,WR,,Andre Roberts,,0.24285715,7,4500,ATL@CAR,ATL,CAR,,
21734-39153,TE,,Ifeanyi Momah,,5.099999905,1,4500,ARI@SF,ARI,SF,,
21734-45299,RB,,David Fluellen,,1.049999952,2,4500,BAL@TEN,TEN,BAL,,
21734-33013,RB,,Tion Green,,0,0,4500,DET@GB,DET,GB,,
21734-32000,TE,,Luke Willson,,3.67142868,7,4500,WAS@SEA,SEA,WAS,,
21734-27908,TE,,C.J. Fiedorowicz,,6.599999905,1,4500,IND@HOU,HOU,IND,IR,Concussion
21734-28933,WR,,Jared Abbrederis,,2.950000048,2,4500,DET@GB,DET,GB,,
21734-33029,RB,,George Winn,,0,0,4500,IND@HOU,IND,HOU,IR,Undisclosed
21734-27918,TE,,Henry Krieger-Coble,,1.799999952,1,4500,IND@HOU,IND,HOU,,
21734-30990,RB,,Jalston Fowler,,3.150000095,2,4500,BAL@TEN,TEN,BAL,,
21734-22800,RB,,Derrick Coleman,,0.800000012,2,4500,ATL@CAR,ATL,CAR,,
21734-11543,TE,,Clay Harbor,,1.700000048,2,4500,TB@NO,NO,TB,IR,Undisclosed
21734-34071,WR,,Nick Williams,,4.5,1,4500,ATL@CAR,ATL,CAR,,
21734-45335,TE,,Michael Roberts,,1,2,4500,DET@GB,DET,GB,,
21734-55577,WR,,Hunter Sharp,,0,1,4500,DEN@PHI,DEN,PHI,,
21734-24862,WR,,Rashad Greene Sr.,,0.462500006,8,4500,CIN@JAC,JAC,CIN,IR,Undisclosed
21734-29985,WR,,Jaydon Mickens,,0,0,4500,CIN@JAC,JAC,CIN,,
21734-11556,TE,,Michael Hoomanawanui,,3.200000048,4,4500,TB@NO,NO,TB,,
21734-31036,WR,,Kevin Norwood,,0,0,4500,LAR@NYG,NYG,LAR,IR,Hip
21734-52560,WR,,Geronimo Allison,,4.440000153,5,4500,DET@GB,GB,DET,,
21734-32082,WR,,Jordan Taylor,,2.199999968,3,4500,DEN@PHI,DEN,PHI,,
21734-14683,RB,,Patrick DiMarco,,0.266666671,3,4500,BUF@NYJ,BUF,NYJ,,
21734-54621,WR,,Walter Powell,,3.028571538,7,4500,BUF@NYJ,BUF,NYJ,,
21734-54623,WR,,Jeff Janis,,0,2,4500,DET@GB,GB,DET,,
21734-37245,RB,,Fozzy Whittaker,,2.974999905,4,4500,ATL@CAR,CAR,ATL,Q,Ankle
21734-43397,WR,,Carlos Henderson,,0,0,4500,DEN@PHI,DEN,PHI,IR,Thumb
