"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21853-14185","QB","Cam","Cam Newton","Newton","18.246666802300346","9","9000","MIA@CAR","CAR","MIA","","","",""
"21853-6498","QB","Tom","Tom Brady","Brady","20.55500030517578","8","8600","NE@DEN","NE","DEN","","","",""
"21853-11460","TE","Rob","Rob Gronkowski","Gronkowski","13.985714503696986","7","8400","NE@DEN","NE","DEN","","","",""
"21853-29501","WR","Brandin","Brandin Cooks","Cooks","11.725000381469727","8","8100","NE@DEN","NE","DEN","","","",""
"21853-55050","RB","Christian","Christian McCaffrey","McCaffrey","11.322222391764322","9","7700","MIA@CAR","CAR","MIA","","","",""
"21853-28080","WR","Devin","Devin Funchess","Funchess","9.033333672417534","9","7400","MIA@CAR","CAR","MIA","","","",""
"21853-31394","WR","Jarvis","Jarvis Landry","Landry","11.787500381469727","8","7200","MIA@CAR","MIA","CAR","","","",""
"21853-11432","WR","Demaryius","Demaryius Thomas","Thomas","9.75","8","7000","NE@DEN","DEN","NE","","","",""
"21853-14704","WR","Chris","Chris Hogan","Hogan","11.5","8","7000","NE@DEN","NE","DEN","D","Shoulder","",""
"21853-6898","QB","Jay","Jay Cutler","Cutler","12.748571123395648","7","6900","MIA@CAR","MIA","CAR","","","",""
"21853-33463","QB","Paxton","Paxton Lynch","Lynch","9.793333053588867","3","6600","NE@DEN","DEN","NE","","","",""
"21853-21994","QB","Brock","Brock Osweiler","Osweiler","5.46999979019165","2","6600","NE@DEN","DEN","NE","","","",""
"21853-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","9.09999974568685","6","6600","NE@DEN","DEN","NE","","","",""
"21853-29249","RB","C.J.","C.J. Anderson","Anderson","9.412500381469727","8","6400","NE@DEN","DEN","NE","","","",""
"21853-33260","WR","DeVante","DeVante Parker","Parker","9.84000015258789","5","6400","MIA@CAR","MIA","CAR","","","",""
"21853-14339","RB","Dion","Dion Lewis","Lewis","6.237500190734863","8","6000","NE@DEN","NE","DEN","","","",""
"21853-28434","QB","Trevor","Trevor Siemian","Siemian","14.808571951729911","7","6000","NE@DEN","DEN","NE","","","",""
"21853-6808","QB","Matt","Matt Moore","Moore","9.779999732971191","2","6000","MIA@CAR","MIA","CAR","","","",""
"21853-32158","QB","Garrett","Garrett Gilbert","Gilbert","0","0","6000","MIA@CAR","CAR","MIA","","","",""
"21853-24607","QB","Chad","Chad Kelly","Kelly","0","0","6000","NE@DEN","DEN","NE","IR","Wrist","",""
"21853-7872","QB","Brian","Brian Hoyer","Hoyer","11.083333333333334","6","6000","NE@DEN","NE","DEN","","","",""
"21853-53331","QB","Taylor","Taylor Heinicke","Heinicke","0","0","6000","NE@DEN","NE","DEN","","","",""
"21853-6373","QB","Derek","Derek Anderson","Anderson","0.6800000071525574","1","6000","MIA@CAR","CAR","MIA","","","",""
"21853-8117","WR","Danny","Danny Amendola","Amendola","7.899999891008649","7","5900","NE@DEN","NE","DEN","","","",""
"21853-27441","RB","Damien","Damien Williams","Williams","3.8999998910086497","7","5700","MIA@CAR","MIA","CAR","","","",""
"21853-30989","RB","Kenyan","Kenyan Drake","Drake","2.262500047683716","8","5600","MIA@CAR","MIA","CAR","","","",""
"21853-6733","RB","Jonathan","Jonathan Stewart","Stewart","5.377777947319879","9","5600","MIA@CAR","CAR","MIA","","","",""
"21853-14317","TE","Julius","Julius Thomas","Thomas","5.337500095367432","8","5600","MIA@CAR","MIA","CAR","","","",""
"21853-6728","RB","Jamaal","Jamaal Charles","Charles","4.900000095367432","8","5500","NE@DEN","DEN","NE","","","",""
"21853-12553","D","Carolina","Carolina Panthers","Panthers","8.11111111111111","9","5400","MIA@CAR","CAR","MIA","","","",""
"21853-39580","RB","Devontae","Devontae Booker","Booker","6.519999694824219","5","5400","NE@DEN","DEN","NE","","","",""
"21853-27457","WR","Kenny","Kenny Stills","Stills","9.012499809265137","8","5400","MIA@CAR","MIA","CAR","","","",""
"21853-30237","RB","Mike","Mike Gillislee","Gillislee","7.1875","8","5300","NE@DEN","NE","DEN","","","",""
"21853-7900","K","Stephen","Stephen Gostkowski","Gostkowski","10.75","8","5300","NE@DEN","NE","DEN","","","",""
"21853-31329","WR","Russell","Russell Shepard","Shepard","2.8777777353922525","9","5300","MIA@CAR","CAR","MIA","","","",""
"21853-52613","WR","Curtis","Curtis Samuel","Samuel","2.6285713740757535","7","5200","MIA@CAR","CAR","MIA","","","",""
"21853-12541","D","New England","New England Patriots","Patriots","5.75","8","5200","NE@DEN","NE","DEN","","","",""
"21853-25813","WR","Phillip","Phillip Dorsett","Dorsett","2.799999952316284","4","5100","NE@DEN","NE","DEN","","","",""
"21853-6914","TE","Greg","Greg Olsen","Olsen","2.1500000953674316","2","5000","MIA@CAR","CAR","MIA","IR","Foot","",""
