"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21842-54608","RB","Jerick","Jerick McKinnon","McKinnon","10.625","8","6600","MIN@WAS","MIN","WAS","","","",""
"21842-30231","QB","Jacoby","Jacoby Brissett","Brissett","14.522221883138021","9","6600","PIT@IND","IND","PIT","","","",""
"21842-24920","RB","Devonta","Devonta Freeman","Freeman","13.050000190734863","8","6500","DAL@ATL","ATL","DAL","Q","Undisclosed","",""
"21842-26251","WR","Robby","Robby Anderson","Anderson","9.766666836208767","9","6500","NYJ@TB","NYJ","TB","","","",""
"21842-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","9.800000190734863","8","6500","PIT@IND","PIT","IND","","","",""
"21842-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","8.869999885559082","4","6500","GB@CHI","CHI","GB","","","",""
"21842-14254","RB","DeMarco","DeMarco Murray","Murray","8.887499809265137","8","6500","CIN@TEN","TEN","CIN","Q","Knee","",""
"21842-24641","WR","Sammy","Sammy Watkins","Watkins","7.574999809265137","8","6400","HOU@LAR","LAR","HOU","","","",""
"21842-29915","QB","Brett","Brett Hundley","Hundley","9.614999771118164","4","6400","GB@CHI","GB","CHI","","","",""
"21842-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","9.09999974568685","6","6400","NE@DEN","DEN","NE","","","",""
"21842-34331","RB","Latavius","Latavius Murray","Murray","4.712500095367432","8","6400","MIN@WAS","MIN","WAS","","","",""
"21842-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","12.25","8","6400","CLE@DET","DET","CLE","","","",""
"21842-6893","WR","Jordy","Jordy Nelson","Nelson","12.114286150251116","7","6400","GB@CHI","GB","CHI","","","",""
"21842-28434","QB","Trevor","Trevor Siemian","Siemian","14.808571951729911","7","6400","NE@DEN","DEN","NE","","","",""
"21842-27986","QB","C.J.","C.J. Beathard","Beathard","14.90999984741211","4","6300","NYG@SF","SF","NYG","","","",""
"21842-6739","WR","DeSean","DeSean Jackson","Jackson","8.5625","8","6300","NYJ@TB","TB","NYJ","","","",""
"21842-27229","RB","Ameer","Ameer Abdullah","Abdullah","8.4375","8","6300","CLE@DET","DET","CLE","","","",""
"21842-52442","RB","Joe","Joe Mixon","Mixon","8.600000381469727","8","6200","CIN@TEN","CIN","TEN","","","",""
"21842-29249","RB","C.J.","C.J. Anderson","Anderson","9.412500381469727","8","6200","NE@DEN","DEN","NE","","","",""
"21842-29685","WR","Robert","Robert Woods","Woods","8.975000381469727","8","6200","HOU@LAR","LAR","HOU","","","",""
"21842-57537","QB","DeShone","DeShone Kizer","Kizer","10.737143380301339","7","6100","CLE@DET","CLE","DET","","","",""
"21842-21970","RB","Doug","Doug Martin","Martin","9.45999984741211","5","6100","NYJ@TB","TB","NYJ","","","",""
"21842-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","10.773333231608072","3","6100","NYJ@TB","TB","NYJ","","","",""
"21842-29587","QB","Cody","Cody Kessler","Kessler","3.740000009536743","1","6100","CLE@DET","CLE","DET","","","",""
"21842-39859","TE","Jack","Jack Doyle","Doyle","9.637499809265137","8","6100","PIT@IND","IND","PIT","","","",""
"21842-14344","QB","T.J.","T.J. Yates","Yates","0","0","6000","HOU@LAR","HOU","LAR","","","",""
"21842-29715","QB","Kevin","Kevin Hogan","Hogan","9.694999694824219","4","6000","CLE@DET","CLE","DET","","","",""
"21842-24607","QB","Chad","Chad Kelly","Kelly","0","0","6000","NE@DEN","DEN","NE","IR","Wrist","",""
"21842-30761","QB","Nathan","Nathan Peterman","Peterman","0","0","6000","NO@BUF","BUF","NO","","","",""
"21842-31798","QB","Bryce","Bryce Petty","Petty","6.543333053588867","6","6000","NYJ@TB","NYJ","TB","","","",""
"21842-53331","QB","Taylor","Taylor Heinicke","Heinicke","0","0","6000","NE@DEN","NE","DEN","","","",""
"21842-11500","QB","Colt","Colt McCoy","McCoy","0","0","6000","MIN@WAS","WAS","MIN","","","",""
"21842-31047","QB","AJ","AJ McCarron","McCarron","0","0","6000","CIN@TEN","CIN","TEN","","","",""
"21842-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","5.913333257039388","6","6000","NYG@SF","SF","NYG","","","",""
"21842-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","CLE@DET","DET","CLE","","","",""
"21842-11615","QB","Joe","Joe Webb","Webb","0.11428571598870414","7","6000","NO@BUF","BUF","NO","","","",""
"21842-14696","QB","Scott","Scott Tolzien","Tolzien","3.319999933242798","1","6000","PIT@IND","IND","PIT","","","",""
"21842-22894","QB","Kellen","Kellen Moore","Moore","0","0","6000","DAL@ATL","DAL","ATL","","","",""
"21842-25969","QB","Tom","Tom Savage","Savage","3.0799999237060547","3","6000","HOU@LAR","HOU","LAR","","","",""
"21842-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","HOU@LAR","LAR","HOU","","","",""
"21842-21959","QB","Brandon","Brandon Weeden","Weeden","0","0","6000","CIN@TEN","TEN","CIN","","","",""
"21842-40407","QB","Joshua","Joshua Dobbs","Dobbs","0","0","6000","PIT@IND","PIT","IND","","","",""
"21842-21994","QB","Brock","Brock Osweiler","Osweiler","5.46999979019165","2","6000","NE@DEN","DEN","NE","","","",""
"21842-45565","QB","Taysom","Taysom Hill","Hill","0","0","6000","NO@BUF","NO","BUF","","","",""
"21842-6679","QB","Matt","Matt Schaub","Schaub","0.14666666587193808","3","6000","DAL@ATL","ATL","DAL","","","",""
"21842-16923","TE","Austin","Austin Seferian-Jenkins","Seferian-Jenkins","7.7999997820172995","7","6000","NYJ@TB","NYJ","TB","","","",""
"21842-39454","QB","Zac","Zac Dysert","Dysert","0","0","6000","DAL@ATL","DAL","ATL","IR","Back","",""
"21842-6687","QB","Mark","Mark Sanchez","Sanchez","0.7599999904632568","2","6000","GB@CHI","CHI","GB","","","",""
"21842-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","CIN@TEN","TEN","CIN","IR","Foot","",""
"21842-30253","QB","Jeff","Jeff Driskel","Driskel","0","0","6000","CIN@TEN","CIN","TEN","IR","Thumb","",""
"21842-7778","QB","Matt","Matt Cassel","Cassel","2.240000009536743","2","6000","CIN@TEN","TEN","CIN","","","",""
"21842-8803","QB","Chase","Chase Daniel","Daniel","0.6399999856948853","1","6000","NO@BUF","NO","BUF","","","",""
"21842-7844","QB","Chad","Chad Henne","Henne","-0.30000001192092896","1","6000","LAC@JAC","JAC","LAC","","","",""
"21842-44715","QB","Cooper","Cooper Rush","Rush","1.3799999952316284","1","6000","DAL@ATL","DAL","ATL","","","",""
"21842-33463","QB","Paxton","Paxton Lynch","Lynch","9.793333053588867","3","6000","NE@DEN","DEN","NE","","","",""
"21842-7872","QB","Brian","Brian Hoyer","Hoyer","11.083333333333334","6","6000","NE@DEN","NE","DEN","","","",""
"21842-22219","WR","Jermaine","Jermaine Kearse","Kearse","8.61111111111111","9","6000","NYJ@TB","NYJ","TB","","","",""
"21842-7919","QB","Kellen","Kellen Clemens","Clemens","-0.10000000149011612","1","6000","LAC@JAC","LAC","JAC","","","",""
"21842-41732","QB","Christian","Christian Hackenberg","Hackenberg","0","0","6000","NYJ@TB","NYJ","TB","","","",""
"21842-29445","QB","Sean","Sean Mannion","Mannion","-0.1399999956289927","3","6000","HOU@LAR","LAR","HOU","","","",""
"21842-27405","QB","Landry","Landry Jones","Jones","5.131428309849331","7","6000","PIT@IND","PIT","IND","","","",""
"21842-70446","QB","Joe","Joe Callahan","Callahan","0","0","6000","GB@CHI","GB","CHI","","","",""
"21842-45889","WR","Davante","Davante Adams","Adams","11.112500190734863","8","6000","GB@CHI","GB","CHI","","","",""
"21842-25410","QB","Mike","Mike Glennon","Glennon","9.680000305175781","4","6000","GB@CHI","CHI","GB","","","",""
"21842-28515","QB","Cardale","Cardale Jones","Jones","2.740000009536743","1","6000","LAC@JAC","LAC","JAC","","","",""
"21842-55140","QB","Brad","Brad Kaaya","Kaaya","0","0","6000","CLE@DET","DET","CLE","","","",""
"21842-33647","QB","Kyle","Kyle Sloter","Sloter","0","0","6000","MIN@WAS","MIN","WAS","","","",""
"21842-26483","QB","Geno","Geno Smith","Smith","-0.10000000149011612","1","6000","NYG@SF","NYG","SF","","","",""
"21842-39795","QB","Davis","Davis Webb","Webb","0","0","6000","NYG@SF","NYG","SF","","","",""
