QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,DeAndre Hopkins (9723492),DeAndre Hopkins,9723492,WR,9200,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,RB,Ezekiel Elliott (9723996),Ezekiel Elliott,9723996,RB,9000,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,Kareem Hunt (9724032),Kareem Hunt,9724032,RB,8600,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,RB,Leonard Fournette (9723579),Leonard Fournette,9723579,RB,8400,CIN@JAX 11/05/2017 01:00PM ET,JAX,
,,,,,,,,,,QB,Deshaun Watson (9723480),Deshaun Watson,9723480,QB,8100,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,RB,Todd Gurley II (9723675),Todd Gurley II,9723675,RB,8100,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,WR,Julio Jones (9723427),Julio Jones,9723427,WR,7800,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,WR,Mike Evans (9723653),Mike Evans,9723653,WR,7700,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Mark Ingram (9723613),Mark Ingram,9723613,RB,7600,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,WR,A.J. Green (9723552),A.J. Green,9723552,WR,7400,CIN@JAX 11/05/2017 01:00PM ET,CIN,
,,,,,,,,,,QB,Russell Wilson (9723936),Russell Wilson,9723936,QB,7300,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,WR,Michael Thomas (9723623),Michael Thomas,9723623,WR,7200,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Will Fuller V (9723494),Will Fuller V,9723494,WR,7000,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,QB,Drew Brees (9723610),Drew Brees,9723610,QB,7000,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Doug Baldwin (9723948),Doug Baldwin,9723948,WR,6900,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,TE,Zach Ertz (9723791),Zach Ertz,9723791,TE,6800,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,QB,Dak Prescott (9723994),Dak Prescott,9723994,QB,6700,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Tyreek Hill (9724040),Tyreek Hill,9724040,WR,6700,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,TE,Travis Kelce (9724050),Travis Kelce,9724050,TE,6700,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,RB,Devonta Freeman (9723419),Devonta Freeman,9723419,RB,6600,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,RB,Christian McCaffrey (9723451),Christian McCaffrey,9723451,RB,6500,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,QB,Alex Smith (9724029),Alex Smith,9724029,QB,6500,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,RB,David Johnson (9723870),David Johnson,9723870,RB,6400,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,WR,Dez Bryant (9724006),Dez Bryant,9724006,WR,6400,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Cam Newton (9723448),Cam Newton,9723448,QB,6300,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,RB,Alvin Kamara (9723615),Alvin Kamara,9723615,RB,6300,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Matt Ryan (9723417),Matt Ryan,9723417,QB,6200,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,WR,Kelvin Benjamin (9723461),Kelvin Benjamin,9723461,WR,6200,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,RB,Lamar Miller (9723482),Lamar Miller,9723482,RB,6200,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,QB,Carson Wentz (9723769),Carson Wentz,9723769,QB,6100,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,RB,Chris Thompson (9723969),Chris Thompson,9723969,RB,6100,WAS@SEA 11/05/2017 04:05PM ET,WAS,
