QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Aaron Jones (9726306),Aaron Jones,9726306,RB,6000,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,QB,Tyrod Taylor (9725643),Tyrod Taylor,9725643,QB,5900,BUF@NYJ 11/02/2017 08:25PM ET,BUF,
,,,,,,,,,,WR,Larry Fitzgerald (9725552),Larry Fitzgerald,9725552,WR,5900,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,RB,Doug Martin (9725622),Doug Martin,9725622,RB,5800,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Jameis Winston (9726016),Jameis Winston,9726016,QB,5800,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,WR,Jordy Nelson (9726314),Jordy Nelson,9726314,WR,5800,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,WR,Emmanuel Sanders (9725591),Emmanuel Sanders,9725591,WR,5700,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,QB,Kirk Cousins (9725669),Kirk Cousins,9725669,QB,5700,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,RB,Jay Ajayi (9726242),Jay Ajayi,9726242,RB,5700,OAK@MIA 11/05/2017 08:30PM ET,MIA,
,,,,,,,,,,TE,Evan Engram (9726137),Evan Engram,9726137,TE,5600,LAR@NYG 11/05/2017 01:00PM ET,NYG,
,,,,,,,,,,QB,Carson Palmer (9725530),Carson Palmer,9725530,QB,5600,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,RB,Adrian Peterson (9725561),Adrian Peterson,9725561,RB,5600,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,WR,Marvin Jones Jr. (9726285),Marvin Jones Jr.,9726285,WR,5600,DET@GB 11/06/2017 08:30PM ET,DET,
,,,,,,,,,,QB,Josh McCown (9725524),Josh McCown,9725524,QB,5500,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,WR,DeSean Jackson (9725581),DeSean Jackson,9725581,WR,5500,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Jared Goff (9726066),Jared Goff,9726066,QB,5500,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,RB,Darren McFadden (9725567),Darren McFadden,9725567,RB,5500,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,Alfred Morris (9725624),Alfred Morris,9725624,RB,5500,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Devin Funchess (9726044),Devin Funchess,9726044,WR,5400,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,QB,Andrew Luck (9725708),Andrew Luck,9725708,QB,5400,IND@HOU 11/05/2017 01:00PM ET,IND,
,,,,,,,,,,RB,DeMarco Murray (9725598),DeMarco Murray,9725598,RB,5400,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Davante Adams (9726316),Davante Adams,9726316,WR,5400,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,QB,Derek Anderson (9725528),Derek Anderson,9725528,QB,5300,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,WR,Mohamed Sanu (9725741),Mohamed Sanu,9725741,WR,5300,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,WR,Alshon Jeffery (9725760),Alshon Jeffery,9725760,WR,5300,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,QB,Jacoby Brissett (9725953),Jacoby Brissett,9725953,QB,5200,IND@HOU 11/05/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Sterling Shepard (9726012),Sterling Shepard,9726012,WR,5200,LAR@NYG 11/05/2017 01:00PM ET,NYG,
