Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week9,Full,21734-38791,Ezekiel Elliott,RB,8900,KC@DAL,DAL,KC,20.78571429,O,Suspension
2017,Week9,Full,21734-21939,Andrew Luck,QB,7400,IND@HOU,IND,HOU,21.38000081,O,Shoulder - labrum
2017,Week9,Full,21734-6748,Carson Palmer,QB,7000,ARI@SF,ARI,SF,15.61714281,IR,Arm
2017,Week9,Full,21734-11505,Emmanuel Sanders,WR,6500,DEN@PHI,DEN,PHI,10.21999969,Q,Ankle
2017,Week9,Full,21734-28434,Trevor Siemian,QB,6500,DEN@PHI,DEN,PHI,14.80857195,,
2017,Week9,Full,21734-6808,Matt Moore,QB,6400,OAK@MIA,MIA,OAK,9.779999733,,
2017,Week9,Full,21734-14267,Ryan Mallett,QB,6400,BAL@TEN,BAL,TEN,4.96999979,,
2017,Week9,Full,21734-14344,T.J. Yates,QB,6000,BUF@NYJ,BUF,NYJ,0,,
2017,Week9,Full,21734-24607,Chad Kelly,QB,6000,DEN@PHI,DEN,PHI,0,O,Wrist
2017,Week9,Full,21734-62497,David Johnson,RB,6000,ARI@SF,ARI,SF,10,IR,Wrist
2017,Week9,Full,21734-30761,Nathan Peterman,QB,6000,BUF@NYJ,BUF,NYJ,0,,
2017,Week9,Full,21734-31798,Bryce Petty,QB,6000,BUF@NYJ,NYJ,BUF,6.543333054,,
2017,Week9,Full,21734-30788,Tyler Bray,QB,6000,KC@DAL,KC,DAL,0,,
2017,Week9,Full,21734-57439,Patrick Mahomes II,QB,6000,KC@DAL,KC,DAL,0,,
2017,Week9,Full,21734-6373,Derek Anderson,QB,6000,ATL@CAR,CAR,ATL,0.680000007,,
2017,Week9,Full,21734-11500,Colt McCoy,QB,6000,WAS@SEA,WAS,SEA,0,,
2017,Week9,Full,21734-22848,Austin Davis,QB,6000,WAS@SEA,SEA,WAS,-0.100000001,,
2017,Week9,Full,21734-31047,AJ McCarron,QB,6000,CIN@JAX,CIN,JAX,0,,
2017,Week9,Full,21734-27982,Jake Rudock,QB,6000,DET@GB,DET,GB,0,,
2017,Week9,Full,21734-11615,Joe Webb,QB,6000,BUF@NYJ,BUF,NYJ,0.114285716,,
2017,Week9,Full,21734-14696,Scott Tolzien,QB,6000,IND@HOU,IND,HOU,3.319999933,,
2017,Week9,Full,21734-22894,Kellen Moore,QB,6000,KC@DAL,DAL,KC,0,,
2017,Week9,Full,21734-25969,Tom Savage,QB,6000,IND@HOU,HOU,IND,-0.75999999,,
2017,Week9,Full,21734-24949,EJ Manuel,QB,6000,OAK@MIA,OAK,MIA,7.550000191,,
2017,Week9,Full,21734-32158,Garrett Gilbert,QB,6000,ATL@CAR,CAR,ATL,0,,
2017,Week9,Full,21734-31170,Brandon Allen,QB,6000,LAR@NYG,LAR,NYG,0,,
2017,Week9,Full,21734-21959,Brandon Weeden,QB,6000,BAL@TEN,TEN,BAL,0,,
2017,Week9,Full,21734-7659,Ryan Fitzpatrick,QB,6000,TB@NO,TB,NO,11.30000019,,
2017,Week9,Full,21734-45565,Taysom Hill,QB,6000,TB@NO,NO,TB,0,,
2017,Week9,Full,21734-28163,Connor Cook,QB,6000,OAK@MIA,OAK,MIA,7,,
2017,Week9,Full,21734-22027,Nick Foles,QB,6000,DEN@PHI,PHI,DEN,-0.200000003,,
2017,Week9,Full,21734-6679,Matt Schaub,QB,6000,ATL@CAR,ATL,CAR,0.146666666,,
2017,Week9,Full,21734-39454,Zac Dysert,QB,6000,KC@DAL,DAL,KC,0,IR,Back
2017,Week9,Full,21734-23075,Alex Tanney,QB,6000,BAL@TEN,TEN,BAL,0,IR,Foot
2017,Week9,Full,21734-30253,Jeff Driskel,QB,6000,CIN@JAX,CIN,JAX,0,IR,Thumb
2017,Week9,Full,21734-7778,Matt Cassel,QB,6000,BAL@TEN,TEN,BAL,2.24000001,,
2017,Week9,Full,21734-8803,Chase Daniel,QB,6000,TB@NO,NO,TB,0.639999986,,
2017,Week9,Full,21734-7844,Chad Henne,QB,6000,CIN@JAX,JAX,CIN,-0.300000012,,
2017,Week9,Full,21734-44715,Cooper Rush,QB,6000,KC@DAL,DAL,KC,1.379999995,,
