Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week9,Main,21736-54879,Deshaun Watson,QB,9600,IND@HOU,HOU,IND,25.265714372907365,O,Knee
2017,Week9,Main,21736-16606,DeAndre Hopkins,WR,9100,IND@HOU,HOU,IND,17.87142835344587,,
2017,Week9,Main,21736-30447,Todd Gurley II,RB,9100,LAR@NYG,LAR,NYG,21.357142857142858,,
2017,Week9,Main,21736-45229,Kareem Hunt,RB,9000,KC@DAL,KC,DAL,19.375,,
2017,Week9,Main,21736-38791,Ezekiel Elliott,RB,8900,KC@DAL,DAL,KC,20.785714285714285,O,Suspension
2017,Week9,Main,21736-52922,Leonard Fournette,RB,8600,CIN@JAX,JAX,CIN,20.4499994913737,,
2017,Week9,Main,21736-22015,Russell Wilson,QB,8500,WAS@SEA,SEA,WAS,23.102857317243302,,
2017,Week9,Main,21736-32384,Mike Evans,WR,8500,TB@NO,TB,NO,13.62857164655413,,
2017,Week9,Main,21736-6504,Drew Brees,QB,8300,TB@NO,NO,TB,17.734285627092635,,
2017,Week9,Main,21736-14187,A.J. Green,WR,8200,CIN@JAX,CIN,JAX,14.028570992606026,,
2017,Week9,Main,21736-31716,Dak Prescott,QB,8200,KC@DAL,DAL,KC,21.365713936941965,,
2017,Week9,Main,21736-70324,Carson Wentz,QB,8000,DEN@PHI,PHI,DEN,21.727500915527344,,
2017,Week9,Main,21736-14626,Doug Baldwin,WR,7900,WAS@SEA,SEA,WAS,11.099999564034599,,
2017,Week9,Main,21736-8005,Alex Smith,QB,7900,KC@DAL,KC,DAL,21.329999923706055,,
2017,Week9,Main,21736-14190,Julio Jones,WR,7900,ATL@CAR,ATL,CAR,11.214285714285714,,
2017,Week9,Main,21736-14211,Mark Ingram,RB,7900,TB@NO,NO,TB,14.057143075125557,,
2017,Week9,Main,21736-42028,Will Fuller V,WR,7800,IND@HOU,HOU,IND,19.325000762939453,,
2017,Week9,Main,21736-29358,Marcus Mariota,QB,7800,BAL@TEN,TEN,BAL,15.740000406901041,,
2017,Week9,Main,21736-45859,Derek Carr,QB,7800,OAK@MIA,OAK,MIA,15.765714372907366,,
2017,Week9,Main,21736-11435,Dez Bryant,WR,7700,KC@DAL,DAL,KC,10.942856924874443,,
2017,Week9,Main,21736-24849,Jameis Winston,QB,7700,TB@NO,TB,NO,15.488571166992188,Q,Shoulder - ac joint
2017,Week9,Main,21736-53681,Tyreek Hill,WR,7700,KC@DAL,KC,DAL,12.4375,,
2017,Week9,Main,21736-29780,Zach Ertz,TE,7600,DEN@PHI,PHI,DEN,13.537500381469727,Q,Hamstring
2017,Week9,Main,21736-6616,Matt Ryan,QB,7600,ATL@CAR,ATL,CAR,15.10857173374721,,
2017,Week9,Main,21736-38435,Jared Goff,QB,7600,LAR@NYG,LAR,NYG,15.60857173374721,,
2017,Week9,Main,21736-14185,Cam Newton,QB,7600,ATL@CAR,CAR,ATL,18.017499923706055,Q,Shoulder
2017,Week9,Main,21736-28573,Michael Thomas,WR,7600,TB@NO,NO,TB,11.571428571428571,,
2017,Week9,Main,21736-22037,Lamar Miller,RB,7500,IND@HOU,HOU,IND,13.571428571428571,Q,Knee
2017,Week9,Main,21736-22038,Kirk Cousins,QB,7500,WAS@SEA,WAS,SEA,19.442858014787948,,
2017,Week9,Main,21736-21939,Andrew Luck,QB,7400,IND@HOU,IND,HOU,21.380000813802084,IR,Shoulder - labrum
2017,Week9,Main,21736-14225,Andy Dalton,QB,7300,CIN@JAX,CIN,JAX,14.502856663295201,,
