Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week10,Main,9758244,Le'Veon Bell,RB,9800,PIT@IND 11/12/2017 01:00PM ET,PIT,,0.0,,
2017,Week10,Main,9758252,Antonio Brown,WR,9500,PIT@IND 11/12/2017 01:00PM ET,PIT,,0.0,,
2017,Week10,Main,9758621,Ezekiel Elliott,RB,8800,DAL@ATL 11/12/2017 04:25PM ET,DAL,,0.0,,
2017,Week10,Main,9758559,Todd Gurley II,RB,8700,HOU@LAR 11/12/2017 04:05PM ET,LAR,,0.0,,
2017,Week10,Main,9758305,Leonard Fournette,RB,8400,LAC@JAX 11/12/2017 01:00PM ET,JAX,,0.0,,
2017,Week10,Main,9758011,LeSean McCoy,RB,8300,NO@BUF 11/12/2017 01:00PM ET,BUF,,0.0,,
2017,Week10,Main,9758598,Julio Jones,WR,8000,DAL@ATL 11/12/2017 04:25PM ET,ATL,,0.0,,
2017,Week10,Main,9758409,A.J. Green,WR,7700,CIN@TEN 11/12/2017 01:00PM ET,CIN,,0.0,,
2017,Week10,Main,9758539,DeAndre Hopkins,WR,7500,HOU@LAR 11/12/2017 04:05PM ET,HOU,,0.0,,
2017,Week10,Main,9758045,Mark Ingram,RB,7400,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Main,9758619,Dak Prescott,QB,7300,DAL@ATL 11/12/2017 04:25PM ET,DAL,,0.0,,
2017,Week10,Main,9758274,Melvin Gordon,RB,7200,LAC@JAX 11/12/2017 01:00PM ET,LAC,,0.0,,
2017,Week10,Main,9758379,Mike Evans,WR,7100,NYJ@TB 11/12/2017 01:00PM ET,TB,,0.0,,
2017,Week10,Main,9758055,Michael Thomas,WR,7000,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Main,9758042,Drew Brees,QB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Main,9758047,Alvin Kamara,RB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Main,9758631,Dez Bryant,WR,6900,DAL@ATL 11/12/2017 04:25PM ET,DAL,,0.0,,
2017,Week10,Main,9758179,Matthew Stafford,QB,6800,CLE@DET 11/12/2017 01:00PM ET,DET,,0.0,,
2017,Week10,Main,9758191,Golden Tate,WR,6800,CLE@DET 11/12/2017 01:00PM ET,DET,,0.0,,
2017,Week10,Main,9758478,Adam Thielen,WR,6700,MIN@WAS 11/12/2017 01:00PM ET,MIN,,0.0,,
2017,Week10,Main,9758556,Jared Goff,QB,6700,HOU@LAR 11/12/2017 04:05PM ET,LAR,,0.0,,
2017,Week10,Main,9758241,Ben Roethlisberger,QB,6600,PIT@IND 11/12/2017 01:00PM ET,PIT,,0.0,,
2017,Week10,Main,9758470,Jerick McKinnon,RB,6600,MIN@WAS 11/12/2017 01:00PM ET,MIN,,0.0,,
2017,Week10,Main,9758480,Stefon Diggs,WR,6500,MIN@WAS 11/12/2017 01:00PM ET,MIN,,0.0,,
2017,Week10,Main,9758588,Matt Ryan,QB,6500,DAL@ATL 11/12/2017 04:25PM ET,ATL,,0.0,,
2017,Week10,Main,9758112,Aaron Jones,RB,6400,GB@CHI 11/12/2017 01:00PM ET,GB,,0.0,,
2017,Week10,Main,9758008,Tyrod Taylor,QB,6300,NO@BUF 11/12/2017 01:00PM ET,BUF,,0.0,,
2017,Week10,Main,9758686,Carlos Hyde,RB,6300,NYG@SF 11/12/2017 04:25PM ET,SF,,0.0,,
2017,Week10,Main,9758193,Marvin Jones Jr.,WR,6200,CLE@DET 11/12/2017 01:00PM ET,DET,,0.0,,
2017,Week10,Main,9758675,Evan Engram,TE,6200,NYG@SF 11/12/2017 04:25PM ET,NYG,,0.0,,
2017,Week10,Main,9758077,Jordan Howard,RB,6100,GB@CHI 11/12/2017 01:00PM ET,CHI,,0.0,,
2017,Week10,Main,9758336,Josh McCown,QB,6100,NYJ@TB 11/12/2017 01:00PM ET,NYJ,,0.0,,
2017,Week10,Main,9758590,Devonta Freeman,RB,6000,DAL@ATL 11/12/2017 04:25PM ET,ATL,,0.0,,
2017,Week10,Main,9758222,T.Y. Hilton,WR,5900,PIT@IND 11/12/2017 01:00PM ET,IND,,0.0,,
2017,Week10,Main,9758499,Kirk Cousins,QB,5900,MIN@WAS 11/12/2017 01:00PM ET,WAS,,0.0,,
2017,Week10,Main,9758434,Marcus Mariota,QB,5800,CIN@TEN 11/12/2017 01:00PM ET,TEN,,0.0,,
2017,Week10,Main,9758501,Chris Thompson,RB,5700,MIN@WAS 11/12/2017 01:00PM ET,WAS,,0.0,,
2017,Week10,Main,9758254,JuJu Smith-Schuster,WR,5600,PIT@IND 11/12/2017 01:00PM ET,PIT,,0.0,,
2017,Week10,Main,9758466,Sam Bradford,QB,5600,MIN@WAS 11/12/2017 01:00PM ET,MIN,,0.0,,
2017,Week10,Main,9758625,Alfred Morris,RB,5500,DAL@ATL 11/12/2017 04:25PM ET,DAL,,0.0,,
2017,Week10,Main,9758665,Sterling Shepard,WR,5500,NYG@SF 11/12/2017 04:25PM ET,NYG,,0.0,,
2017,Week10,Main,9758284,Keenan Allen,WR,5400,LAC@JAX 11/12/2017 01:00PM ET,LAC,,0.0,,
2017,Week10,Main,9758368,Jameis Winston,QB,5400,NYJ@TB 11/12/2017 01:00PM ET,TB,,0.0,,
