Year,Week,Slate,ID,Name,Position,Salary,GameInfo,Team,Opponent,FPPG,InjuryStatus,InjuryDetails
2017,Week10,Full,9759662,Le'Veon Bell,RB,9800,PIT@IND 11/12/2017 01:00PM ET,PIT,,0.0,,
2017,Week10,Full,9759516,Antonio Brown,WR,9500,PIT@IND 11/12/2017 01:00PM ET,PIT,,0.0,,
2017,Week10,Full,9759978,Ezekiel Elliott,RB,8800,DAL@ATL 11/12/2017 04:25PM ET,DAL,,0.0,,
2017,Week10,Full,9759930,Todd Gurley II,RB,8700,HOU@LAR 11/12/2017 04:05PM ET,LAR,,0.0,,
2017,Week10,Full,9760087,Leonard Fournette,RB,8400,LAC@JAX 11/12/2017 01:00PM ET,JAX,,0.0,,
2017,Week10,Full,9759480,LeSean McCoy,RB,8300,NO@BUF 11/12/2017 01:00PM ET,BUF,,0.0,,
2017,Week10,Full,9759529,Julio Jones,WR,8000,DAL@ATL 11/12/2017 04:25PM ET,ATL,,0.0,,
2017,Week10,Full,9759535,A.J. Green,WR,7700,CIN@TEN 11/12/2017 01:00PM ET,CIN,,0.0,,
2017,Week10,Full,9759738,DeAndre Hopkins,WR,7500,HOU@LAR 11/12/2017 04:05PM ET,HOU,,0.0,,
2017,Week10,Full,9759504,Russell Wilson,QB,7400,SEA@ARI 11/09/2017 08:25PM ET,SEA,,0.0,,
2017,Week10,Full,9759527,Mark Ingram,RB,7400,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Full,9759754,Dak Prescott,QB,7300,DAL@ATL 11/12/2017 04:25PM ET,DAL,,0.0,,
2017,Week10,Full,9759828,Melvin Gordon,RB,7200,LAC@JAX 11/12/2017 01:00PM ET,LAC,,0.0,,
2017,Week10,Full,9759774,Mike Evans,WR,7100,NYJ@TB 11/12/2017 01:00PM ET,TB,,0.0,,
2017,Week10,Full,9759896,Michael Thomas,WR,7000,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Full,9760185,Rob Gronkowski,TE,7000,NE@DEN 11/12/2017 08:30PM ET,NE,,0.0,,
2017,Week10,Full,9759374,Drew Brees,QB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
2017,Week10,Full,9760057,Alvin Kamara,RB,6900,NO@BUF 11/12/2017 01:00PM ET,NO,,0.0,,
