Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPTarget,YdsPRec,Rush,Fum,Lost,FantasyPts
2016,REG,2,Mike Wallace,WR,2,BAL,CLE,6,4,67,0,0,17,7,10,0,0,0,20.1
2016,REG,3,Mike Wallace,WR,1,BAL,BUF,6,3,50,11,0,66,15,30,1,0,0,19.2
2016,REG,4,Steve Smith,WR,3,BAL,JAX,11,8,73,0,0,23,8,11,0,0,0,16.7
2016,REG,5,Mike Wallace,WR,5,BAL,WAS,11,7,64,0,0,13,6,9,0,0,0,13.3
2016,REG,6,Mike Wallace,WR,4,BAL,OAK,9,4,44,3,0,17,5,11,1,0,0,10.7
2016,REG,7,Steve Smith,WR,2,BAL,CLE,6,3,50,0,0,31,11,21,0,0,0,9.4
2016,REG,8,Mike Wallace,WR,3,BAL,JAX,6,3,50,5,0,15,6,11,1,0,0,6.9
2016,REG,9,Steve Smith,WR,1,BAL,BUF,8,5,63,0,0,6,2,4,0,0,0,6.9
2016,REG,10,Steve Smith,WR,5,BAL,WAS,3,3,100,0,0,15,10,10,0,0,0,5.9
2016,REG,11,Breshad Perriman,WR,4,BAL,OAK,5,3,60,0,0,15,5,8,0,0,0,5.4
2016,REG,12,Breshad Perriman,WR,2,BAL,CLE,5,2,40,0,0,20,6,16,0,0,0,5.2
2016,REG,13,Breshad Perriman,WR,1,BAL,BUF,2,1,50,0,0,35,18,35,0,0,0,4.5
2016,REG,14,Breshad Perriman,WR,3,BAL,JAX,4,2,50,2,0,15,6,11,1,0,0,4.4
2016,REG,15,Kamar Aiken,WR,4,BAL,OAK,4,3,75,0,0,8,2,3,0,0,0,3.9
2016,REG,16,Kamar Aiken,WR,1,BAL,BUF,2,2,100,0,0,16,7,7,0,0,0,3.4
2016,REG,17,Breshad Perriman,WR,5,BAL,WAS,5,2,40,0,0,9,2,6,0,0,0,3.1
2016,REG,18,Chris Moore,WR,1,BAL,BUF,2,1,50,0,0,13,7,13,0,0,0,2.3
2016,REG,19,Chris Moore,WR,2,BAL,CLE,2,1,50,0,0,9,5,9,0,0,0,1.9
2016,REG,20,Chris Moore,WR,4,BAL,OAK,4,1,25,0,0,6,2,6,0,0,0,1.6
2016,REG,21,Kamar Aiken,WR,3,BAL,JAX,1,1,100,0,0,5,5,5,0,0,0,1.5
2016,REG,22,Chris Moore,WR,3,BAL,JAX,1,1,100,0,0,2,2,2,0,0,0,1.2
2016,REG,23,Devin Hester,WR,1,BAL,BUF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,24,Michael Campanaro,WR,1,BAL,BUF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,25,Devin Hester,WR,2,BAL,CLE,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,26,Kamar Aiken,WR,2,BAL,CLE,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,27,Devin Hester,WR,4,BAL,OAK,0,0,0,0,0,0,0,0,0,1,0,0
2016,REG,28,Darren Waller,WR,4,BAL,OAK,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,29,Devin Hester,WR,5,BAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,30,Kamar Aiken,WR,5,BAL,WAS,3,0,0,0,0,0,0,0,0,0,0,0
2016,REG,31,Darren Waller,WR,5,BAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,32,Daniel Brown,WR,5,BAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,33,Devin Hester,WR,3,BAL,JAX,0,0,0,0,0,0,0,0,0,1,1,-1
2016,REG,1,Marquise Goodwin,WR,2,BUF,NYJ,5,2,40,0,0,84,22,56,0,0,0,22.2
2016,REG,2,Greg Salas,WR,2,BUF,NYJ,5,4,80,0,0,71,18,22,0,0,0,18.9
2016,REG,3,Robert Woods,WR,4,BUF,NE,10,7,70,0,0,23,9,13,0,0,0,15.9
2016,REG,4,Robert Woods,WR,3,BUF,ARI,8,6,75,0,0,24,6,9,0,0,0,11.1
2016,REG,5,Marquise Goodwin,WR,5,BUF,LAR,6,2,33,0,0,7,2,7,0,0,0,9.3
2016,REG,6,Sammy Watkins,WR,1,BUF,BAL,6,4,67,0,0,19,7,11,0,0,0,8.3
2016,REG,7,Justin Hunter,WR,5,BUF,LAR,1,1,100,0,0,4,4,4,0,0,0,7.4
2016,REG,8,Walter Powell,WR,4,BUF,NE,5,4,80,0,0,11,4,6,0,0,0,6.2
2016,REG,9,Robert Woods,WR,1,BUF,BAL,5,4,80,0,0,9,4,5,0,0,0,6
2016,REG,10,Walter Powell,WR,3,BUF,ARI,5,3,60,0,0,14,6,9,0,0,0,5.8
2016,REG,11,Robert Woods,WR,5,BUF,LAR,6,2,33,0,0,17,4,13,0,0,0,4.6
2016,REG,12,Sammy Watkins,WR,2,BUF,NYJ,5,2,40,0,0,11,4,10,0,0,0,4
2016,REG,13,Marquise Goodwin,WR,4,BUF,NE,5,1,20,0,0,12,2,12,0,0,0,2.2
2016,REG,14,Robert Woods,WR,2,BUF,NYJ,2,1,50,0,0,10,5,10,0,0,0,2
2016,REG,15,Marquise Goodwin,WR,3,BUF,ARI,5,1,20,0,0,6,1,6,0,0,0,1.6
2016,REG,16,Brandon Tate,WR,4,BUF,NE,0,0,0,4,0,0,0,0,1,0,0,0.4
2016,REG,17,Brandon Tate,WR,1,BUF,BAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,18,Greg Salas,WR,1,BUF,BAL,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,19,Marquise Goodwin,WR,1,BUF,BAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,20,Brandon Tate,WR,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,21,Walter Powell,WR,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,Brandon Tate,WR,3,BUF,ARI,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,23,Brandon Tate,WR,5,BUF,LAR,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,24,Walter Powell,WR,5,BUF,LAR,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,1,Kelvin Benjamin,WR,2,CAR,SF,9,7,78,0,0,25,12,15,0,0,0,32.8
2016,REG,2,Kelvin Benjamin,WR,1,CAR,DEN,12,6,50,0,0,17,8,15,0,0,0,21.1
2016,REG,3,Corey Brown,WR,4,CAR,ATL,7,5,71,0,0,16,7,10,0,0,0,15.8
2016,REG,4,Kelvin Benjamin,WR,4,CAR,ATL,7,3,43,0,0,21,6,13,0,0,0,12.9
2016,REG,5,Kelvin Benjamin,WR,5,CAR,TB,9,5,56,0,0,18,8,14,0,0,0,12
2016,REG,6,Devin Funchess,WR,2,CAR,SF,4,2,50,0,0,16,5,10,0,0,0,9.9
2016,REG,7,Ted Ginn,WR,3,CAR,MIN,7,3,43,5,0,31,9,21,2,0,0,9.7
2016,REG,8,Corey Brown,WR,3,CAR,MIN,5,4,80,0,0,27,11,14,0,0,0,9.7
2016,REG,9,Devin Funchess,WR,4,CAR,ATL,3,2,67,0,0,48,19,28,0,0,0,7.6
2016,REG,10,Ted Ginn,WR,2,CAR,SF,4,2,50,5,0,52,13,26,1,1,1,6.6
2016,REG,11,Corey Brown,WR,2,CAR,SF,6,3,50,0,0,8,3,5,0,0,0,4.5
2016,REG,12,Ted Ginn,WR,1,CAR,DEN,1,1,100,20,0,5,5,5,1,0,0,3.5
2016,REG,13,Ted Ginn,WR,4,CAR,ATL,5,2,40,0,0,8,3,7,0,0,0,3.4
2016,REG,14,Corey Brown,WR,5,CAR,TB,4,2,50,0,0,7,3,7,0,0,0,3.3
2016,REG,15,Corey Brown,WR,1,CAR,DEN,2,1,50,0,0,11,6,11,0,0,0,2.1
2016,REG,16,Devin Funchess,WR,1,CAR,DEN,4,1,25,0,0,9,2,9,0,0,0,1.9
2016,REG,17,Ted Ginn,WR,5,CAR,TB,1,1,100,0,0,5,5,5,0,1,1,0.5
2016,REG,18,Brenton Bersin,WR,2,CAR,SF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,19,Kelvin Benjamin,WR,3,CAR,MIN,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,20,Devin Funchess,WR,3,CAR,MIN,2,0,0,0,0,0,0,0,0,0,0,0
2016,REG,21,Brenton Bersin,WR,5,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,Devin Funchess,WR,5,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,1,Cameron Meredith,WR,5,CHI,IND,12,9,75,6,0,30,11,14,1,2,1,30.6
2016,REG,2,Eddie Royal,WR,4,CHI,DET,7,7,100,0,0,64,16,16,0,0,0,27.1
2016,REG,3,Alshon Jeffery,WR,1,CHI,HOU,6,4,67,0,0,54,18,26,0,0,0,17.5
2016,REG,4,Eddie Royal,WR,1,CHI,HOU,6,4,67,0,0,19,10,14,0,0,0,15.7
2016,REG,5,Eddie Royal,WR,2,CHI,PHI,6,4,67,0,0,31,9,13,0,0,0,15.2
2016,REG,6,Alshon Jeffery,WR,2,CHI,PHI,7,5,71,0,0,49,14,19,0,0,0,14.6
2016,REG,7,Alshon Jeffery,WR,5,CHI,IND,6,5,83,0,0,38,13,15,0,0,0,12.7
2016,REG,8,Kevin White,WR,3,CHI,DAL,14,6,43,0,0,32,4,10,0,0,0,12.2
2016,REG,9,Alshon Jeffery,WR,3,CHI,DAL,7,5,71,0,0,22,10,14,0,0,0,12
2016,REG,10,Kevin White,WR,4,CHI,DET,9,6,67,0,0,19,6,9,0,0,0,11.5
2016,REG,11,Eddie Royal,WR,5,CHI,IND,9,7,78,0,0,12,5,6,0,1,0,11.3
2016,REG,12,Kevin White,WR,2,CHI,PHI,6,4,67,9,0,19,6,9,1,0,0,8.5
2016,REG,13,Alshon Jeffery,WR,4,CHI,DET,5,3,60,0,0,22,9,15,0,0,0,7.6
2016,REG,14,Cameron Meredith,WR,4,CHI,DET,5,4,80,0,0,12,6,7,0,0,0,6.8
2016,REG,15,Kevin White,WR,1,CHI,HOU,7,3,43,0,0,19,5,11,0,0,0,6.4
2016,REG,16,Eddie Royal,WR,3,CHI,DAL,3,3,100,0,0,10,7,7,0,0,0,5.1
2016,REG,17,Cameron Meredith,WR,3,CHI,DAL,3,2,67,0,0,24,8,12,0,1,1,3.4
2016,REG,18,Josh Bellamy,WR,5,CHI,IND,1,1,100,0,0,14,14,14,0,0,0,2.4
2016,REG,19,Deonte Thompson,WR,1,CHI,HOU,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,20,Josh Bellamy,WR,1,CHI,HOU,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,21,Deonte Thompson,WR,2,CHI,PHI,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,Josh Bellamy,WR,2,CHI,PHI,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,23,Deonte Thompson,WR,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,24,Josh Bellamy,WR,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,25,Deonte Thompson,WR,4,CHI,DET,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,26,Josh Bellamy,WR,4,CHI,DET,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,27,Deonte Thompson,WR,5,CHI,IND,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,1,AJ Green,WR,1,CIN,NYJ,13,12,92,0,0,54,14,15,0,0,0,39
2016,REG,2,AJ Green,WR,4,CIN,MIA,12,10,83,0,0,51,14,17,0,0,0,36.3
2016,REG,3,Brandon LaFell,WR,5,CIN,DAL,11,8,73,0,0,14,6,9,0,0,0,26.8
2016,REG,4,AJ Green,WR,3,CIN,DEN,11,8,73,0,0,20,7,10,0,0,0,15.7
2016,REG,5,Brandon LaFell,WR,1,CIN,NYJ,4,4,100,0,0,49,23,23,0,0,0,13.1
2016,REG,6,Tyler Boyd,WR,2,CIN,PIT,8,6,75,0,0,29,10,13,0,1,1,12.8
2016,REG,7,AJ Green,WR,5,CIN,DAL,8,4,50,0,0,22,6,13,0,0,0,9
2016,REG,8,Brandon LaFell,WR,4,CIN,MIA,6,4,67,0,0,23,7,11,0,0,0,8.4
2016,REG,9,Brandon LaFell,WR,2,CIN,PIT,8,3,38,0,0,17,5,13,0,0,0,6.9
2016,REG,10,Tyler Boyd,WR,5,CIN,DAL,5,3,60,0,0,20,7,11,0,0,0,6.3
2016,REG,11,AJ Green,WR,2,CIN,PIT,8,2,25,0,0,21,5,19,0,0,0,5.8
2016,REG,12,Brandon LaFell,WR,3,CIN,DEN,3,2,67,-2,0,27,11,17,1,0,0,5.2
2016,REG,13,Tyler Boyd,WR,3,CIN,DEN,4,3,75,0,0,9,5,6,0,0,0,4.8
2016,REG,14,Tyler Boyd,WR,1,CIN,NYJ,3,2,67,0,0,14,8,12,0,0,0,4.4
2016,REG,15,Alex Erickson,WR,2,CIN,PIT,1,1,100,0,0,20,20,20,0,0,0,3
2016,REG,16,James Wright,WR,2,CIN,PIT,1,1,100,0,0,10,10,10,0,0,0,2
2016,REG,17,James Wright,WR,3,CIN,DEN,1,1,100,0,0,10,10,10,0,0,0,2
2016,REG,18,Tyler Boyd,WR,4,CIN,MIA,3,1,33,0,0,10,3,10,0,0,0,2
2016,REG,19,James Wright,WR,1,CIN,NYJ,1,1,100,-6,0,7,7,7,2,0,0,1.1
2016,REG,20,Alex Erickson,WR,1,CIN,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,21,Alex Erickson,WR,3,CIN,DEN,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,James Wright,WR,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,23,Alex Erickson,WR,4,CIN,MIA,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,24,Cody Core,WR,5,CIN,DAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,25,Alex Erickson,WR,5,CIN,DAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,1,Terrelle Pryor,WR,3,CLE,MIA,14,8,57,21,1,40,10,18,4,0,0,34.9
2016,REG,2,Corey Coleman,WR,2,CLE,BAL,8,5,63,0,0,47,13,21,0,0,0,30.4
2016,REG,3,Andrew Hawkins,WR,5,CLE,NE,7,4,57,0,0,24,8,14,0,0,0,15.6
2016,REG,4,Terrelle Pryor,WR,4,CLE,WAS,9,5,56,-6,0,13,5,9,1,0,0,15
2016,REG,5,Terrelle Pryor,WR,5,CLE,NE,6,5,83,3,0,15,8,10,2,1,0,10.3
2016,REG,6,Terrelle Pryor,WR,1,CLE,PHI,7,3,43,0,0,44,10,23,0,0,0,9.8
2016,REG,7,Corey Coleman,WR,1,CLE,PHI,5,2,40,0,0,58,14,35,0,0,0,8.9
2016,REG,8,Ricardo Louis,WR,3,CLE,MIA,4,3,75,0,0,28,10,13,0,1,0,7
2016,REG,9,Terrelle Pryor,WR,2,CLE,BAL,10,3,30,0,0,16,3,11,0,0,0,6.2
2016,REG,10,Andrew Hawkins,WR,2,CLE,BAL,3,3,100,0,0,16,9,9,0,0,0,5.8
2016,REG,11,Andrew Hawkins,WR,4,CLE,WAS,3,3,100,0,0,12,9,9,0,0,0,5.8
2016,REG,12,Ricardo Louis,WR,4,CLE,WAS,5,3,60,0,0,13,6,9,0,0,0,5.8
2016,REG,13,Andrew Hawkins,WR,3,CLE,MIA,4,2,50,1,0,9,4,7,1,0,0,3.5
2016,REG,14,Ricardo Louis,WR,5,CLE,NE,5,2,40,0,0,8,3,7,0,0,0,3.3
2016,REG,15,Ricardo Louis,WR,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,16,Rashard Higgins,WR,1,CLE,PHI,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,17,Ricardo Louis,WR,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,18,Rashard Higgins,WR,2,CLE,BAL,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,19,Jordan Payton,WR,3,CLE,MIA,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,20,Rashard Higgins,WR,3,CLE,MIA,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,21,Rashard Higgins,WR,4,CLE,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,Rashard Higgins,WR,5,CLE,NE,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,23,Andrew Hawkins,WR,1,CLE,PHI,3,0,0,-1,0,0,0,0,1,0,0,-0.1
2016,REG,1,Dez Bryant,WR,2,DAL,WAS,12,7,58,0,0,21,9,15,0,0,0,20.2
2016,REG,2,Cole Beasley,WR,5,DAL,CIN,4,4,100,0,0,18,13,13,0,0,0,15.3
2016,REG,3,Brice Butler,WR,4,DAL,SF,9,5,56,0,0,14,5,8,0,0,0,15.1
2016,REG,4,Cole Beasley,WR,1,DAL,NYG,12,8,67,0,0,15,5,8,0,0,0,14.5
2016,REG,5,Terrance Williams,WR,4,DAL,SF,6,4,67,0,0,20,7,11,0,0,0,14.4
2016,REG,6,Cole Beasley,WR,3,DAL,CHI,7,7,100,0,0,29,10,10,0,0,0,14.3
2016,REG,7,Dez Bryant,WR,3,DAL,CHI,6,3,50,0,0,17,7,13,0,0,0,13
2016,REG,8,Cole Beasley,WR,2,DAL,WAS,6,5,83,0,0,28,13,15,0,0,0,12.5
2016,REG,9,Terrance Williams,WR,5,DAL,CIN,5,5,100,0,0,21,14,14,0,0,0,12
2016,REG,10,Terrance Williams,WR,3,DAL,CHI,4,4,100,0,0,47,22,22,0,1,1,11.8
2016,REG,11,Cole Beasley,WR,4,DAL,SF,4,3,75,7,0,47,17,22,1,0,0,10.3
2016,REG,12,Terrance Williams,WR,1,DAL,NYG,4,3,75,0,0,14,9,11,0,0,0,6.4
2016,REG,13,Brice Butler,WR,5,DAL,CIN,3,2,67,0,0,13,7,10,0,0,0,4
2016,REG,14,Brice Butler,WR,1,DAL,NYG,2,1,50,0,0,16,8,16,0,0,0,2.6
2016,REG,15,Dez Bryant,WR,1,DAL,NYG,5,1,20,0,0,8,2,8,0,0,0,1.8
2016,REG,16,Lucky Whitehead,WR,5,DAL,CIN,0,0,0,9,0,0,0,0,1,1,0,0.9
2016,REG,17,Lucky Whitehead,WR,4,DAL,SF,0,0,0,8,0,0,0,0,1,0,0,0.8
2016,REG,18,Lucky Whitehead,WR,3,DAL,CHI,0,0,0,3,0,0,0,0,1,0,0,0.3
2016,REG,19,Lucky Whitehead,WR,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,20,Chris Brown,WR,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0
